VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments,Type
eB5teB8Azl8,https://www.youtube.com/watch?v=eB5teB8Azl8,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Giải pháp phòng ngừa và điều trị bệnh tiểu đường,0,723000,12625,2023-02-22T12:34:00Z,27M10S,2,1
vlu47jjlj-k,https://www.youtube.com/watch?v=vlu47jjlj-k,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,Người bệnh tiểu đường ăn đu đủ có bị ảnh hưởng không? | Báo Lao Động,13,984000,5997,2024-12-17T13:33:37Z,58S,0,1
xFNgxcidAuQ,https://www.youtube.com/watch?v=xFNgxcidAuQ,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Người bị bệnh tiểu đường nên ăn gì và nên kiêng gì?,522,1650000,126233,2023-02-19T02:30:48Z,4M1S,8,1
N-gQS8ypmMQ,https://www.youtube.com/watch?v=N-gQS8ypmMQ,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,Cách Nhận Biết Bệnh Tiểu Đường Tuýp 1 Và Tuýp 2 | Dr Ngọc,690,1310000,57760,2023-10-16T05:00:09Z,4M12S,107,1
XWBSzrrlBFg,https://www.youtube.com/watch?v=XWBSzrrlBFg,UCOMskN2D_vfshrGgpL-o55Q,BỆNH VIỆN ĐA KHOA MEDLATEC,Personal,Bác sĩ hướng dẫn phân biệt tiểu đường type 1 và tiểu đường type 2,29,86300,3414,2025-05-20T08:15:51Z,1M25S,0,1
55bOPMMJhGg,https://www.youtube.com/watch?v=55bOPMMJhGg,UC_kSOy981Lct-JHkCcpgsZg,Dr. Wynn Tran Official,Organization,#26. Bệnh Tiểu Đường,691,819000,32291,2019-05-06T03:59:30Z,5M54S,45,1
snjT-pH-6h4,https://www.youtube.com/watch?v=snjT-pH-6h4,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Tiểu đường biến chứng cực kỳ nguy hiểm| BS Võ Hà Băng Sương - Vinmec Phú Quốc,0,723000,226077,2021-04-16T03:30:12Z,7M18S,109,1
eA_X0evEUBg,https://www.youtube.com/watch?v=eA_X0evEUBg,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Đừng lơ là - Trẻ em cũng có thể mắc bệnh tiểu đường!!!,0,723000,3968,2022-07-03T13:00:32Z,3M12S,0,1
3BygOyYuKb8,https://www.youtube.com/watch?v=3BygOyYuKb8,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,Ăn nhiều đường có gây ra bệnh tiểu đường không? | Báo Lao Động,3,984000,1582,2024-09-22T13:45:00Z,1M22S,0,1
jOHt-_0f7V0,https://www.youtube.com/watch?v=jOHt-_0f7V0,UCYO8RPtaJnD2bxC8CZl1_PA,Dr Ngọc Official ,Organization,5 Điều Cần Biết Về Bệnh Tiền Tiểu Đường | Dr Ngọc,3557,1310000,213552,2023-03-09T06:30:08Z,12M25S,888,1
s5-NeN97uuE,https://www.youtube.com/watch?v=s5-NeN97uuE,UCr8i-5AIxdiJbI0HdGdUzIA,Báo Lao Động,Personal,Mắc bệnh tiểu đường type 1 hay type 2 nặng hơn? | Báo Lao Động,2,984000,444,2024-12-22T10:45:05Z,53S,0,1
lHnp8s8dSAo,https://www.youtube.com/watch?v=lHnp8s8dSAo,UC0Rd9opm-RIWEoMvhq6ottQ,THVL Tổng Hợp,Personal,Chỉ số đường huyết như thế nào được xem là bị đái tháo đường | Sống khỏe mỗi ngày - Kỳ 897,406,1840000,106646,2020-12-11T08:27:21Z,5M44S,1,1
2kg79P_bODU,https://www.youtube.com/watch?v=2kg79P_bODU,UCuqtKp77ZbFRUFLq05-ddkw,Bệnh viện ĐKQT Vinmec,Personal,Chỉ số đường huyết bình thường và bảng đo đường huyết trước/ sau ăn,0,723000,308081,2021-03-04T15:31:51Z,2M45S,121,1
Qoa4fNIj1Og,https://www.youtube.com/watch?v=Qoa4fNIj1Og,UCAgehYjUxNc7vHpf3F06mXQ,Video AloBacsi,Personal,Dấu hiệu cảnh báo sớm bệnh tiểu đường | TS.BS Trần Minh Triết,776,1650000,107782,2023-08-11T02:00:10Z,22M25S,29,1
on_noOPGSVQ,https://www.youtube.com/watch?v=on_noOPGSVQ,UCZcCmWhvK0gfThyWRmRerDQ,TOÀN CẢNH 24H,Personal,[Sống khoẻ mỗi ngày] Khi nào bệnh nhân tiểu đường typ 2 được chỉ định tiêm insulin | Tin mới,139,6210000,33638,2023-06-07T04:08:35Z,1H31M56S,0,1
